uid	site	date_er	date	zone	easting	northing	lattitude	longitude	datum	factor	count	height_o	height_g	Discription	issues	cent_sp01	cent_l_sp01	cent_d_sp01	cent_sp02	cent_l_sp02	cent_d_sp02	cent_sp03	cent_l_sp03	cent_d_sp03	cent_sp04	cent_l_sp04	cent_d_sp04	cent_sp05	cent_l_sp05	cent_d_sp05	cent_sp06	cent_l_sp06	cent_d_sp06	cent_sp07	cent_l_sp07	cent_d_sp07	cent_sp08	cent_l_sp08	cent_d_sp08	cent_sp09	cent_l_sp09	cent_d_sp09	cent_sp10	cent_l_sp10	cent_d_sp10	cent_sp11	cent_l_sp11	cent_d_sp11	north_sp01	north_l_sp01	north_d_sp01	north_sp02	north_l_sp02	north_d_sp02	north_sp03	north_l_sp03	north_d_sp03	north_sp04	north_l_sp04	north_d_sp04	north_sp05	north_l_sp05	north_d_sp05	north_sp06	north_l_sp06	north_d_sp06	north_sp07	north_l_sp07	north_d_sp07	north_sp08	north_l_sp08	north_d_sp08	north_sp09	north_l_sp09	north_d_sp09	north_sp10	north_l_sp10	north_d_sp10	north_sp11	north_l_sp11	north_d_sp11	south_sp01	south_l_sp01	south_d_sp01	south_sp02	south_l_sp02	south_d_sp02	south_sp03	south_l_sp03	south_d_sp03	south_sp04	south_l_sp04	south_d_sp04	south_sp05	south_l_sp05	south_d_sp05	south_sp06	south_l_sp06	south_d_sp06	south_sp07	south_l_sp07	south_d_sp07	south_sp08	south_l_sp08	south_d_sp08	south_sp09	south_l_sp09	south_d_sp09	south_sp10	south_l_sp10	south_d_sp10	south_sp11	south_l_sp11	south_d_sp11	sw_sp01	sw_l_sp01	sw_d_sp01	sw_sp02	sw_l_sp02	sw_d_sp02	sw_sp03	sw_l_sp03	sw_d_sp03	sw_sp04	sw_l_sp04	sw_d_sp04	sw_sp05	sw_l_sp05	sw_d_sp05	sw_sp06	sw_l_sp06	sw_d_sp06	sw_sp07	sw_l_sp07	sw_d_sp07	sw_sp08	sw_l_sp08	sw_d_sp08	sw_sp09	sw_l_sp09	sw_d_sp09	sw_sp10	sw_l_sp10	sw_d_sp10	sw_sp11	sw_l_sp11	sw_d_sp11	ne_sp01	ne_l_sp01	ne_d_sp01	ne_sp02	ne_l_sp02	ne_d_sp02	ne_sp03	ne_l_sp03	ne_d_sp03	ne_sp04	ne_l_sp04	ne_d_sp04	ne_sp05	ne_l_sp05	ne_d_sp05	ne_sp06	ne_l_sp06	ne_d_sp06	ne_sp07	ne_l_sp07	ne_d_sp07	ne_sp08	ne_l_sp08	ne_d_sp08	ne_sp09	ne_l_sp09	ne_d_sp09	ne_sp10	ne_l_sp10	ne_d_sp10	ne_sp11	ne_l_sp11	ne_d_sp11	se_sp01	se_l_sp01	se_d_sp01	se_sp02	se_l_sp02	se_d_sp02	se_sp03	se_l_sp03	se_d_sp03	se_sp04	se_l_sp04	se_d_sp04	se_sp05	se_l_sp05	se_d_sp05	se_sp06	se_l_sp06	se_d_sp06	se_sp07	se_l_sp07	se_d_sp07	se_sp08	se_l_sp08	se_d_sp08	se_sp09	se_l_sp09	se_d_sp09	se_sp10	se_l_sp10	se_d_sp10	se_sp11	se_l_sp11	se_d_sp11	nw_sp01	nw_l_sp01	nw_d_sp01	nw_sp02	nw_l_sp02	nw_d_sp02	nw_sp03	nw_l_sp03	nw_d_sp03	nw_sp04	nw_l_sp04	nw_d_sp04	nw_sp05	nw_l_sp05	nw_d_sp05	nw_sp06	nw_l_sp06	nw_d_sp06	nw_sp07	nw_l_sp07	nw_d_sp07	nw_sp08	nw_l_sp08	nw_d_sp08	nw_sp09	nw_l_sp09	nw_d_sp09	nw_sp10	nw_l_sp10	nw_d_sp10	nw_sp11	nw_l_sp11	nw_d_sp11
24	amg01	6/19/2012	6/19/2012	53	398729	8188688			GDA94	0.25	7	11	0.4	"C. dicro, E.chloro low woodland over tussock grass"	ok	Corymbia dichromphloia	1	0	E. chlorostachys	17	0	Corymbia ferruginea	3	0																									Corymbia dichromphloia	3	0	Alphitonia excelsa	6	0	Bauhinia cunninghamii	2	0	E. chlorostachys	12	2	Terminalia canescens	2	1	Macropteranthes kekwickii	1	0	Brachychiton diversifolius	1	0	Atalaya hemiglauca	1	0	Corymbia ferruginea	3	0	Brachychiton paradoxus	1	0	Hakea arborescens	1	0	Corymbia dichromphloia	1	0	E. chlorostachys	14	0	Brachychiton diversifolius	3	0	Corymbia ferruginea	4	0																						E. chlorostachys	10	0	Brachychiton diversifolius	1	0	Corymbia ferruginea	1	0	Grevillia sp.	3																							Corymbia dichromphloia	7	0	Bauhinia cunninghamii	2	0	E. chlorostachys	19	1	Terminalia canescens	1	0	Brachychiton diversifolius	2	0	Corymbia ferruginea	2	0	Grevillia sp.	5	0													Corymbia dichromphloia	3	0	Bauhinia cunninghamii	1	0	E. chlorostachys	13	1	Terminalia canescens	1	0	Brachychiton diversifolius	2	0	Corymbia ferruginea	3	0	Grevillia sp.	2	0	species 1	1	0	Erythroxylum ellipticum	1	0							Corymbia dichromphloia	1	0	E. chlorostachys	17	5	Corymbia ferruginea	5	0	Erythroxylum ellipticum	1	0	P. pubescens	1	0																		
25	amg02	6/19/2012	6/19/2012	53	391379	8176982			GDA94	0	7	6.5	0.5	E. microtheca depression in Lanncewood gup	No factor	Eucalyptus microtheca	10	0	Acacia sp.	1	0																												Eucalyptus microtheca	9	1																															Eucalyptus microtheca	14	0																															Eucalyptus microtheca	10	0	Acacia sp.	0	1	Brachychiton sp.	1	0																									Eucalyptus microtheca	10	0	Acacia sp.	0	2																												Eucalyptus microtheca	10	0	Acacia sp.	0	1																												Eucalyptus microtheca	11	0	Acacia sp.	0	1	Brachychiton sp.	1	0																								
26	amg03	6/20/2012	6/20/2012	53	396799	8144642			GDA94	0	7	2.5	0.6	Clossed tussock grassland	ok																																																																																																																																																																																																																																							
27	amg05	6/21/2012	6/21/2012	53	403065	8149954			GDA94	0.75	7				ok	Acacia shirleyi	15	3																															Acacia shirleyi	23	12																															Acacia shirleyi	12	7	Macropteranthes kekwickii	0	2	Eucalyptus microtheca	2	0																									Acacia shirleyi	11	7	Macropteranthes kekwickii	1	4																												Acacia shirleyi	14	4	Macropteranthes kekwickii	5	5																												Acacia shirleyi	13	6																															Acacia shirleyi	17	15																														
28	amg06	6/21/2012	6/21/2012	53	402749	8154049			GDA94	0.1	7				ok	Corymbia dichromphloia	9	0	Corymbia ferruginea	12	2																												Corymbia dichromphloia	7	2	Corymbia ferruginea	4	2	Brachychiton sp.	1	0	Acacia sp.	1	0																						Corymbia dichromphloia	16	0	Corymbia ferruginea	12	1																												Corymbia dichromphloia	8	0	Corymbia ferruginea	21	0																												Corymbia dichromphloia	8	0	Corymbia ferruginea	6	0	Brachychiton sp.	1	0	Acacia sp.	12	0	Grevillia sp.	2	0																			Corymbia dichromphloia	7	0	Corymbia ferruginea	8	3	Acacia sp.	4	0																									Corymbia dichromphloia	7	0	Corymbia ferruginea	8	0	Acacia sp.	3	0																								
29	amg08	6/22/2012	6/22/2012	53	402776	8167869			GDA94	0.75	7				ok	Acacia shirleyi	20	1	Macropteranthes kekwickii	1	0																												Acacia shirleyi	32	5	Macropteranthes kekwickii	1	1	Terminalia volucris	2	0																									Acacia shirleyi	12	2	Macropteranthes kekwickii	15	9	Terminalia volucris	1	0																									Acacia shirleyi	12	3	Macropteranthes kekwickii	2	0																												Acacia shirleyi	22	3	Macropteranthes kekwickii	9	1																												Acacia shirleyi	18	5	Macropteranthes kekwickii	9	0																												Acacia shirleyi	23	3	Macropteranthes kekwickii	1	0																											
30	amg09	6/22/2012	6/22/2012	53	406466	8173433			GDA94	0	7	8.5	0.4	None	No factor	Eucalyptus chlorophylla	17	0	Brachychiton paradoxus	1	0																												Eucalyptus chlorophylla	23	0																															Eucalyptus chlorophylla	18	0																															Eucalyptus chlorophylla	10	1	Acacia gonoclada	7	0																												Eucalyptus chlorophylla	24	0	Acacia gonoclada	1	0																												Eucalyptus chlorophylla	17	0																															Eucalyptus chlorophylla	17	0																														
31	amg10	6/22/2012	6/22/2012	53	413269	8184921			GDA94	0.1	7				ok	Eucalyptus pruinosa	1	0	Eucalyptus chlorophylla	11	0	E. chlorostachys	4	0	Terminalia canescens	5	0																						Eucalyptus pruinosa	3	0	Eucalyptus chlorophylla	12	8	E. chlorostachys	1	1																									Eucalyptus pruinosa	1	0	Eucalyptus chlorophylla	13	2	E. chlorostachys	6	0	Macropteranthes kekwickii	2	0																						Eucalyptus chlorophylla	17	1	E. chlorostachys	2	0	Brachychiton sp.	1	0																									Eucalyptus pruinosa	11	0	Eucalyptus chlorophylla	4	0	E. chlorostachys	4	1	Brachychiton sp.	1	0	Terminalia canescens	1	0																			Eucalyptus pruinosa	7	0	Eucalyptus chlorophylla	7	0	E. chlorostachys	7	1	Acacia sp.	2	0	Dodonaea physocarpa	2	0																			Eucalyptus chlorophylla	9	0	E. chlorostachys	4	1	dead	3	0																								
32	antgr01	6/26/2012	6/26/2012	53	521044	7982865			GDA94	0	7	0	0.1	pasture - grasslands 	ok																																																																																																																																																																																																																																							
33	ant09	6/26/2012	6/26/2012	53	528509	7973323			WGS84	0	7	0	0.3	pasture - grasslands 	ok																																																																																																																																																																																																																																							
34	ant07	6/26/2012	6/26/2012	53	521549	7982608			WGS84	0	7	0	0.2	pasture - grasslands 	ok																																																																																																																																																																																																																																							
35	ant06	6/25/2012	6/25/2012	53	516122	7980344			WGS84	0.25	7				Hight not recorded	Eucalyptus microtheca	3	0	Acacia stenophylla	15	3																												Eucalyptus microtheca	8	1	Acacia stenophylla	12	0																												Eucalyptus microtheca	12	0	Acacia stenophylla	26	0																												Acacia stenophylla	9	7																															Eucalyptus microtheca	3	1																															Eucalyptus microtheca	8	1	Acacia stenophylla	7	2																												Eucalyptus microtheca	1	0	Acacia stenophylla	11	0																											
36	ant05	6/25/2012	6/25/2012	53	510309	7980994			GDA94	0	7	3.5	0.7	Dry lake bed																																			Eucalyptus microtheca	1	0																															Eucalyptus microtheca	2	0																																																																Eucalyptus microtheca	2	0																															Eucalyptus microtheca	4	0																															Eucalyptus microtheca	3	0																														
37	ant04	6/24/2012	6/24/2012	53	508916	7982047			GDA94	0	7			pasture - grasslands 	ok - height not recorded																																																																																																																																																																																																																																							
38	ant03	6/24/2012	6/24/2012	53	506133	7983236			GDA94	0.1	7				Hight not recoprded	Eucalyptus microtheca	3	0																															Eucalyptus microtheca	4	0																															Eucalyptus microtheca	4	0																															Eucalyptus microtheca	9	0																															Eucalyptus microtheca	6	0																															Eucalyptus microtheca	10	0																																																															
39	ant02	6/24/2012	6/24/2012	53	504330	7984977			GDA94	0	7	0	0.5	pasture - grasslands 	ok																																																																																																																																																																																																																																							
40	ant01	6/23/2012	6/23/2012	53	531048	8012136			GDA94	0	7	0	0.3	pasture - grasslands 	ok																																																																																																																																																																																																																																							
41	barkely01	10/25/2011	10/25/2011	53	504308	8009619			GDA94	0	7	0	0.4	pasture - grasslands	ok																																																																																																																																																																																																																																							
42	barkely02	10/26/2011	10/26/2011	53	527490.9973	8003493.001			WGS84	0	7	0	0.3	pasture - grasslands - no trees	ok																																																																																																																																																																																																																																							
43	barkely03	10/26/2011	10/26/2011	53	530524	8007079			GDA94	0	7	1.3	0.4	pasture - grasslands - no trees	ok																																																																																																																																																																																																																																							
44	barkely04	10/26/2011	10/26/2011	53	523886	8011483			GDA94	0	7	0	0.4	pasture - grasslands - no trees	ok																																																																																																																																																																																																																																							
45	barkely05	10/27/2011	10/27/2011	53	509227	8011596			GDA94	0	7	0	0.6	pasture - tussock grasslands	ok																																																																																																																																																																																																																																							
46	barkely06	10/27/2011	10/27/2011	53	527256	8011231			GDA94	0	7	0	0.3	pasture - blacksoil plains 	ok																																																																																																																																																																																																																																							
47	barkely07	10/27/2011	10/27/2011	53	564473	8000269			GDA94	0.25	7	7	0.6	Tussock grassland with scattered trees		Excoecaria parvifolia	4	0																															Excoecaria parvifolia	4	0																															Excoecaria parvifolia	9	0																																																																Excoecaria parvifolia	9	0																															Excoecaria parvifolia	6	1																															Excoecaria parvifolia	6	2																														
48	wh01	7/24/2012	7/24/2012	52	674723	7974505			WGS84	0	7	2	0.5	Triodia hummock grass with sparse shrubs (burnt) and some emergent trees (recovering from fire)	burnt and no factor	Eucalyptus brevifolia	0	1																															Ventilago viminalis	1	0																																																																Eucalyptus brevifolia	0	1																																																																																																																																	
49	wh02	7/24/2012	7/24/2012	52	677559	7983083			WGS84	0.1	7			Triodia hummock grass with some scattered trees and midstory (recovering from fire)	burnt	Eucalyptus pruinosa	0	1																																																																Eucalyptus pruinosa	5	2																															Corymbia terminalis	1	0																															Eucalyptus brevifolia	1	0																																																																Eucalyptus pruinosa	0	2	Eucalyptus brevifolia	0	1																											
50	wh03	7/24/2012	7/24/2012	52	686196	8004981			WGS84	0	7			Native grassland 																																																																																																																																																																																																																																								
51	wh04	7/24/2012	7/24/2012	52	687210	8006718			WGS84	0	7			Native grazed grassland (sparse multi-stemmed shrubs)	possible issue																																																																																																																																																																																																																																							
52	wh05	7/25/2012	7/25/2012	52	685774	8023341			WGS84	0	7																																																																																																																																																																																																																																											
53	wh06	7/25/2012	7/25/2012	52	690160	8030543			WGS84	0	7																																																																																																																																																																																																																																											
54	wh07	7/25/2012	7/25/2012	52	696722	8038647			WGS84	0.1	7	2	0.5	Native grassland Heavily grazed (sparse multi-stemmed shrubs) 	ok																																																																			Acacia nilotoca	1	0																																																																																																	Acacia nilotoca	11	0																															Acacia nilotoca	1	0																														
55	wh08	7/25/2012	7/25/2012	52	697668	8030924			WGS84	0	7																																																																																																																																																																																																																																											
56	wh09	7/25/2012	7/25/2012	52	693661	8025519			WGS84	0	7	0	0.6																																																																																																																																																																																																																																									
57	wh10	7/26/2012	7/26/2012	52	702032	8053995			WGS84	0	7	2	0.15	Short sparce annual grassland with scattered sparse shrubs	No factor																																		Calotropis procera	7	0																																																																Calotropis procera	1	0																															Calotropis procera	6	1																															Calotropis procera	7	0																															Calotropis procera	4	0																														
58	wh11	7/26/2012	7/26/2012	52	700601	8062866			WGS84	0	7	3.5	0.3	Tussock grassland with scattered trees and shrubs	No factor	Calotropis procera	2	0																															Corymbia terminalis	1	0																															Terminalia arostrata	1	0																																																																																																																																		Calotropis procera	2	0																														
59	wh12	7/26/2012	7/26/2012	52	702514	8066598			WGS84	0	7	4	0.3	C. fallax tussock grassland +- Emergent C. termonalis	No factor																																																																																																																																					Corymbia terminalis	1	0																																																																																																
60	wh13	7/26/2012	7/26/2012	52	710178	8065708			WGS84	0	7	0	0.5	Tussock grassland 																																																																																																																																																																																																																																								
61	wh14	7/26/2012	7/26/2012	52	710670	8068018			WGS84	0	7	5	0.6	Tussock grassland with scattered trees																																			Terminalia arostrata	3	0	Atalaya hemiglauca	1	0																												Terminalia arostrata	3	0	Corymbia terminalis	1	0																												Atalaya hemiglauca	3	0																															Terminalia arostrata	2	0																															Terminalia arostrata	1	0																															Terminalia arostrata	4	0																														
62	wh15	7/27/2012	7/27/2012	52	706777	8055934			WGS84	0	7	5.5	0.5	Tussock grassland with scattered trees																																																																																																																																																																																																																																								
63	vrd16	7/27/2012	7/27/2012	52	700109	8089133			WGS84	0.1	7	5	0.5	Clossed tussok grassland with scattered low trees																																																																																																					Terminalia arostrata	1	0																																																																																																																																	
64	vrd17	7/27/2012	7/27/2012	52	710302	8090193			WGS84	0	7	6	0.6	Tall tussok grassland with scattered low trees	No basal 																																																																																																																																																																																																																																							
65	vrd18	7/28/2012	7/28/2012	52	705398	8096972			WGS84	0	7	6	0.6	Tall tussok grassland with scattered low trees	No basal 																																																																			Terminalia arostrata	2	0																															Terminalia arostrata	2	0																																				0																												Terminalia arostrata	1	0	Calotropis procera	1	0																												Terminalia volucris	2	0																														
66	vrd19	7/28/2012	7/28/2012	52	703349	8102719			WGS84	0	7	6	0.6	Tall tussok grassland with scattered low trees																																																																				Terminalia arostrata	2	0																																																																																																	Terminalia arostrata	5	0																															Calotropis procera	1	0																														
67	vrd20	7/28/2012	7/28/2012	52	702062	8108163			WGS84	0.1	7	5	0.3	Annual/tussok grassland with scattered low trees		Terminalia arostrata	1	0																															Terminalia arostrata	2	0																															Terminalia arostrata	1	0	Corymbia terminalis	1	0																												Terminalia arostrata	1	0																															Terminalia arostrata	1	0																															Terminalia arostrata	1	0																															Terminalia arostrata	1	0																														
68	vrd21	7/28/2012	7/28/2012	52	714949	8111782			WGS84	0	7	5	0.6	Tall tussok / annual grassland with scattered low trees	No factor	Terminalia arostrata	1	0																																																																																																																																		Terminalia arostrata	2	0																															Terminalia arostrata	1	0																																																															
69	vrd22	7/28/2012	7/28/2012	52	722900	8115107			WGS84	0.1	7	5	0.6	Tall tussok grassland with scattered low trees		Terminalia arostrata	6	0																															Terminalia arostrata	1	0																															Terminalia arostrata	2	0																															Terminalia arostrata	4	1																															Terminalia arostrata	1	0																																																																Terminalia arostrata	1	0																														
70	vrd23	7/29/2012	7/29/2012	52	718909	8119988			WGS84	0.1	7	5	0.05	Sparce annual / tussock grassland with scattered low trees		Terminalia arostrata	1	0																															Terminalia arostrata	4	0																															Terminalia arostrata	8	0																															Terminalia arostrata	3	0																																																																Terminalia arostrata	1	0	Corymbia terminalis	2	0																												Terminalia arostrata	3	0																														
71	vrd24	7/29/2012	7/29/2012	52	725416	8132840			WGS84	0	7	5	0.05	Sparce tussock grassland with scattered low trees																																																																																																																																																																																																																																								
72	vrd25	7/30/2012	7/30/2012	52	719855	8156079			WGS84	0.1	7	6	0.6	Annual tussock grassland with a scattering of trees																																																																				Corymbia terminalis	1	0	Terminalia canescens	1	0																												Terminalia arostrata	1	0																																																																Corymbia terminalis	3	0																															Terminalia arostrata	1	0																														
73	vrd26	7/30/2012	7/30/2012	52	736540	8157733			WGS84	0	7	2.5	0.3	Annual tussock grassland with a scattering of trees and shrubs																																																																																																																																																																																																																																								
74	vrd27	7/30/2012	7/30/2012	52	728908	8159071			WGS84	0	7	1.5	0.1	Tussock grassland with emergent scattered shrubs	No factor																																																																																																																																																																						Bauhinia cunninghamii	1	0																																																															
75	vrd28	7/31/2012	7/31/2012	52	731341	8169002			WGS84	0	7	6.5	0.6	Annual tussock grassland with a low open woodland 	No factor	Terminalia arostrata	2	0																															Terminalia arostrata	4	0	Terminalia volucris	1	0	Bauhinia cunninghamii	2	0																									Terminalia arostrata	3	0	Terminalia volucris	2	0	Bauhinia cunninghamii	1	0																									Terminalia arostrata	10	0																															Terminalia arostrata	2	0	Terminalia volucris	2	0																												Terminalia arostrata	2	0	Terminalia volucris	3	0																												Terminalia arostrata	2	0																														
76	vrd29	7/31/2012	7/31/2012	52	726762	8186536			WGS84	0	7	0	0.5	Mixed annual tussock grassland	No basal 																																																																																																																																																																																																																																							
77	vrd30	7/31/2012	7/31/2012	52	725857	8192472			WGS84	0.25	7	8.5	0.1	Low open woodland / woodland 	No basal 	Eucalyptus tectifica	21	0																															Eucalyptus tectifica	14	2	Exocarpos parvifolia	2	0	Acacia holosericea	1	0																									Eucalyptus tectifica	16	1	Exocarpos parvifolia	1	0																												Eucalyptus tectifica	12	2	Exocarpos parvifolia	2	0																												Eucalyptus tectifica	12	3																															Eucalyptus tectifica	24	1	Exocarpos parvifolia	1	0																												Eucalyptus tectifica	23	3	Exocarpos parvifolia	3	0	Bauhinia cunninghamii	1	0																								
78	vrd31	8/1/2012	8/1/2012	52	731427	8196107			WGS84	0	7	0	0.5	Closed tussock grassland	No basal 																																																																																																																																																																																																																																							
79	vrd32	8/1/2012	8/1/2012	52	739348	8206683			WGS84	0.1	7	2	0	Annual tussock grassland with scattered shrubs																																																																				Calotropis procera	1	0	Atalaya hemiglauca	1	0																												Calotropis procera	1	0																																																																Calotropis procera	1	0																																																															
80	vrd33	8/1/2012	8/1/2012	52	731065	8212096			WGS84	0.1	7	10	0.5	Clossed tussock grassland with scattered trees																																			Bauhinia cunninghamii	1	0																																																																Bauhinia cunninghamii	1	0																															Bauhinia cunninghamii	1	0																																																																																																
81	vrd34	8/1/2012	8/1/2012	52	733455	8206120			WGS84	0	7	0	0.4	Closed tussock grassland	No basal 																																																																																																																																																																																																																																							
82	vrd35	8/2/2012	8/2/2012	52	734116	8218460			WGS84	0.1	7	0	0.2	Annual tussock grassland	No basal 																																																																																																																																																																																																																																							
83	vrd36	8/2/2012	8/2/2012	52	738932	8220063			WGS84	0	7	0	0.25	Mixed annula perenial tussock grassland	No basal 																																																																																																																																																																																																																																							
84	vrd37	8/2/2012	8/2/2012	52	728961	8210533			WGS84	0.25	7	8	0.2	Low woodland with sparce tussock/sedge cover		Eucalyptus microtheca	33	9	Exocarpos parvifolia	1	0																												Eucalyptus microtheca	24	6	Exocarpos parvifolia	2	0																												Eucalyptus microtheca	27	5																															Eucalyptus microtheca	29	3																															Eucalyptus microtheca	25	6	Exocarpos parvifolia	1	0																												Eucalyptus microtheca	32	9																															Eucalyptus microtheca	32	7																														
85	el01	4/13/2013	4/13/2013	53	343439	8059357			GDA94	0	7																																																																																																																																																																																																																																											
86	el02	4/14/2013	4/14/2013	53	343831.9946	8061264.32			WGS84	0.1	7					Bauhinia cunninghamii	13	0	Gyrocarpus sp.	1	0	Corymbia dichromphloia	1	1	Atalaya hemiglauca	2	0	Acacia hemignosta	2	0																			Bauhinia cunninghamii	15	0	Gyrocarpus sp.	2	0																												Bauhinia cunninghamii	6	1	Gyrocarpus sp.	1	0	Corymbia dichromphloia	3	1	Atalaya hemiglauca	1	0																						Bauhinia cunninghamii	9	6	Gyrocarpus sp.	1	0	Corymbia dichromphloia	1	0																									Bauhinia cunninghamii	21	0	Corymbia dichromphloia	1	0	Atalaya hemiglauca	1	0																									Bauhinia cunninghamii	7	5	Gyrocarpus sp.	1	0	Corymbia dichromphloia	2	1	Corymbia terminalis	1	0																						Bauhinia cunninghamii	13	8	Gyrocarpus sp.	2	0	Corymbia dichromphloia	1	0	Acacia holosericea	1	0																					
87	nc01	4/14/2013	4/14/2013	53	263120.9991	7438072			GDA94	0.25	7					Eucalyptus microtheca	9	2	Exocarpos parvifolia	5	4	Acacia stenophylla	2	1																									Eucalyptus microtheca	11	1	Exocarpos parvifolia	10	1	Acacia stenophylla	1	0																									Eucalyptus microtheca	15	0	Exocarpos parvifolia	3	0	Acacia stenophylla	2	0																									Eucalyptus microtheca	16	1	Exocarpos parvifolia	5	1																												Eucalyptus microtheca	15	3	Exocarpos parvifolia	13	2	Acacia stenophylla	3	1																									Eucalyptus microtheca	14	1	Exocarpos parvifolia	17	2																												Eucalyptus microtheca	15	1	Exocarpos parvifolia	7	0	Acacia stenophylla	2	0																								
88	nc02	4/14/2013	4/14/2013	53	331033	8080603			GDA94	0.25	7					Eucalyptus microtheca	12	0	Excoecaria sp.	6	0	Lysiphyllum cunninghamii	4	0																									Eucalyptus microtheca	6	0	Excoecaria sp.	5	0	Lysiphyllum cunninghamii	4	0																									Eucalyptus microtheca	10	1	Excoecaria sp.	6	4	Lysiphyllum cunninghamii	2	0	P. careya	1	0																						Eucalyptus microtheca	7	0	Excoecaria sp.	2	0	Lysiphyllum cunninghamii	5	0																									Eucalyptus microtheca	9	0	Excoecaria sp.	2	1	Lysiphyllum cunninghamii	6	0	P. careya	2	0																						Eucalyptus microtheca	17	1	Excoecaria sp.	3	0																												Eucalyptus microtheca	9	0	Excoecaria sp.	3	0	Lysiphyllum cunninghamii	10	0																								
89	nc03	4/14/2013	4/14/2013	53	331982	8079271			GDA94	0.1	7					Eucalyptus microtheca	20	7	Excoecaria parvifolia	8	0																												Eucalyptus microtheca	19	1	Excoecaria parvifolia	8	1																												Eucalyptus microtheca	25	3																															Eucalyptus microtheca	18	4	Excoecaria parvifolia	6	0																												Eucalyptus microtheca	25	2	Exocoecaria parvifolia	7	0																												Eucalyptus microtheca	9	1	Excoecaria parvifolia	2	0																												Eucalyptus microtheca	21	2	Excoecaria parvifolia	5	1																											
90	lim01	5/29/2012	5/29/2012	53	579501	8196202			GDA94	0.1	7					Eucalyptus leucophloia	21	9	Corymbia terminalis	1	0	E. chlorostachys	3	0	Lysiphyllum cunninghamii	3	0	Erythroxylum ellipticum	1	0																			Eucalyptus leucophloia	32	5	Corymbia terminalis	2	0	E. chlorostachys	2	0	Lysiphyllum cunninghamii	1	0																						Eucalyptus leucophloia	15	13	E. chlorostachys	4	0	Lysiphyllum cunninghamii	1	0	Eucalyptus tectifica	4	0																						Eucalyptus leucophloia	18	9	E. chlorostachys	2	0	Lysiphyllum cunninghamii	2	0	Eucalyptus tectifica	4	0	Carissa lanceolata	2	0	P. pubescens	1	0																Eucalyptus leucophloia	15	4	Corymbia terminalis	1	0	E. chlorostachys	6	0	Lysiphyllum cunninghamii	1	0	Eucalyptus tectifica	1	0	Brachychiton diversifolius	1	0																Eucalyptus leucophloia	17	3	Corymbia terminalis	2	0	E. chlorostachys	10	0	Eucalyptus tectifica	3	0	Brachychiton diversifolius	3	0																			Eucalyptus leucophloia	29	11	Lysiphyllum cunninghamii	2	0	P. pubescens	1	0	Terminalia canescens	1	0																					
91	lim02	5/29/2012	5/29/2012	53	574103	8191418			GDA94	0	7				No factor	Terminalia canescens	15	2	P. pubescens	3	0	E. chlorostachys	2	0	Bauhinia cunninghamii	2	0	Alphitonia excelsa	2	0																			Terminalia canescens	17	0	P. pubescens	1	0	E. chlorostachys	3	1	Erythroxylum ellipticum	6	0	Bauhinia cunninghamii	4	0	Atalaya hemiglauca	3	0																Terminalia canescens	15	0	E. chlorostachys	8	2	Erythroxylum ellipticum	6	0	Bauhinia cunninghamii	6	2																						Terminalia canescens	12	1	P. pubescens	1	0	E. chlorostachys	2	1	Bauhinia cunninghamii	5	0																						Terminalia canescens	14	2	P. pubescens	6	0	E. chlorostachys	4	0	Erythroxylum ellipticum	1	0	Bauhinia cunninghamii	2	0	Calytrix exstipulata	2	0	Eucalyptus leucophloia	1	0													Terminalia canescens	14	1	P. pubescens	9	2	E. chlorostachys	5	0	Erythroxylum ellipticum	2	0	Bauhinia cunninghamii	7	0	Corymbia ferruginea	1	0																Terminalia canescens	19	0	P. pubescens	1	0	E. chlorostachys	1	1	Erythroxylum ellipticum	4	0	Bauhinia cunninghamii	5	2																		
92	lim03	5/30/2012	5/30/2012	53	573428	8181141			GDA94	0.25	7					E. chlorostachys	6	1	Eucalyptus chlorophylla	16	1	Corymbia terminalis	4	0																									E. chlorostachys	6	0	Eucalyptus chlorophylla	13	0	Corymbia terminalis	1	0																									E. chlorostachys	8	2	Eucalyptus chlorophylla	13	0	Corymbia terminalis	6	0																									E. chlorostachys	8	4	Eucalyptus chlorophylla	4	1	Corymbia terminalis	1	0																									E. chlorostachys	12	0	Eucalyptus chlorophylla	14	0	Corymbia terminalis	3	0																									E. chlorostachys	6	0	Eucalyptus chlorophylla	14	1	Corymbia terminalis	0	1	Bauhinia cunninghamii	2	0																						E. chlorostachys	7	0	Eucalyptus chlorophylla	18	1	Corymbia terminalis	4	0	Bauhinia cunninghamii	1	0																					
